Host,Strain,Temperature,Plate,Round,1,2,3,4,5,6,7,8,9,Mean_Growth
Arabica,389563,25,2,B,1.749026011,2.228522666,1.89900363,2.183809979,1.459901112,1.494371705,1.688457281,1.73965628,1.620540251,1.713239271
Arabica,389563,25,3,B,1.334658986,1.993456206,2.409306106,1.729281319,1.776910626,1.429644636,1.016362428,1.451995203,1.249145954,1.480838842
Arabica,389563,30,1,B,2.029293513,2.280198971,1.718446921,2.523157973,1.544776206,1.463508108,1.625247879,2.080119772,1.373176567,1.847361988
Arabica,389563,30,2,B,1.847084769,1.923709519,1.997208413,2.334471279,1.733249228,2.039166041,1.26042843,1.530307277,0.96016467,1.779524451
Arabica,389563,30,3,B,1.799046939,2.087897304,1.813015614,2.168689575,1.423433066,1.726572757,1.538770217,1.667112363,1.347939957,1.704915596
Arabica,389563,35,1,B,1.920202516,1.726176314,1.176905897,1.187096483,1.473743448,0.94008907,1.397948006,1.570613369,0.811669228,1.313898075
Arabica,389563,35,2,B,2.488396877,1.612617744,0.873846626,0.778336037,1.494077479,1.743107702,1.383813714,1.97729272,1.554143197,1.47532553
Arabica,389563,35,3,B,2.105009066,1.350493962,0.855612871,0.990032959,1.32614219,1.571398945,1.605809483,2.174124568,1.109084801,1.533501629
Arabica,393593,10,1,B,1.072640602,0.760037527,0.893560793,0.521609635,0.272675439,0.628054707,0.416527895,0.429826345,0.414570387,0.453738804
Arabica,393593,10,2,B,0.824903646,0.944671113,0.841011281,0.261397833,0.557758385,0.501927432,0.237521636,0.532694126,0.37664104,0.418259882
Arabica,393593,10,3,B,1.089196996,1.00713131,0.998003768,0.512066812,0.428321613,0.588438986,0.420935776,0.398959801,0.415777142,0.469744598
Arabica,393593,15,1,B,1.001409296,0.966998053,0.592049449,0.314549276,0.152440635,0.570525695,0.272751125,0.370265146,0.258424261,0.336106375
Arabica,393593,15,2,B,0.426893427,0.310904835,0.213383824,0.051101969,0.459793975,0.29403885,0.410499911,0.300265793,0.470764273,0.3031401
Arabica,393593,15,3,B,0.317228809,0.524686452,0.290043066,0.23128634,0.293701382,0.322510594,0.313762114,0.290423277,0.139394862,0.290336741
Arabica,393593,20,1,B,1.705951954,2.341430467,1.966815202,2.429738161,1.63382436,2.140060594,1.523287409,1.734286668,1.60592221,1.892239438
Arabica,393593,20,2,B,1.558228586,2.262963451,2.384233301,2.213426702,1.689300955,2.000888673,1.702425865,1.690655912,1.29095943,1.859339621
Arabica,393593,20,3,B,1.732978378,2.003433562,2.33522463,2.004398211,1.559032165,2.065339355,1.715691804,1.936174296,1.757209332,1.856127166
Arabica,393593,25,1,B,1.708076614,2.627133464,2.348615732,2.521890135,1.838598503,2.003516388,1.688362822,2.146929795,1.75196627,2.039859529
Arabica,393593,25,2,B,1.575708804,2.532320343,2.274102243,2.318525493,2.109496271,1.634684481,1.59978603,1.916312541,1.22426369,1.915760963
Arabica,393593,25,3,B,1.890037089,2.106997065,2.439480868,2.270688518,2.062079309,1.90933831,2.121391873,1.729892238,1.612469669,2.01867805
Arabica,393593,30,1,B,2.32488849,2.121479565,2.398215703,2.438230545,2.264091635,2.004570114,2.501168372,2.067625369,1.708476937,2.255137207
Arabica,393593,30,2,B,2.388608081,1.742910977,2.902742866,2.190564832,2.159039405,1.708771001,1.929535934,2.154894222,1.365153933,2.028561079
Arabica,393593,30,3,B,1.670467587,2.446630828,2.41998668,2.590997195,1.842363643,2.121039337,2.248906587,2.195766335,1.525752635,2.199814619
Arabica,393593,35,1,B,2.073966089,2.087228101,2.173099362,1.726376966,0.960387023,1.619905454,1.03761113,1.46761657,1.14237158,1.362379429
Arabica,393593,35,2,B,2.099665779,2.349695861,1.604949482,2.438677225,1.631102036,1.799774786,1.887359766,2.360759775,1.135581579,2.023534718
Arabica,393593,35,3,B,2.259822767,2.292348001,2.041698751,2.187187686,1.786892417,2.029881124,1.738566068,1.44743384,1.009814666,1.837992227
